x_1,x_2,Label
194,344,0
192,239,0
271,317,0
244,306,0
274,328,0
212,310,0
193,309,0
103,226,0
170,216,0
201,312,0
226,277,0
241,319,0
175,285,0
208,254,0
97,257,0
92,254,0
257,329,0
149,288,0
172,276,0
185,320,0
164,302,0
165,218,0
234,254,0
177,224,0
227,252,0
211,284,0
171,319,0
238,273,0
217,328,0
133,318,0
229,309,0
186,290,0
126,216,0
193,261,0
226,249,0
188,300,0
238,293,0
192,325,0
99,244,0
148,254,0
132,312,0
194,249,0
159,334,0
123,278,0
133,244,0
185,302,0
222,349,0
121,225,0
183,249,0
254,345,0
484,218,1
399,226,1
436,194,1
449,206,1
440,204,1
441,218,1
476,270,1
410,204,1
489,261,1
408,201,1
466,269,1
465,204,1
463,257,1
419,250,1
507,275,1
428,178,1
501,198,1
502,220,1
450,243,1
457,179,1
413,171,1
421,240,1
387,184,1
472,228,1
451,232,1
405,200,1
535,231,1
471,172,1
443,262,1
488,266,1
468,216,1
548,226,1
460,263,1
409,227,1
446,223,1
523,269,1
471,216,1
439,213,1
542,212,1
435,211,1
517,211,1
413,245,1
475,200,1
417,246,1
544,251,1
470,259,1
475,191,1
440,171,1
476,227,1
446,246,1
