x_1,x_2,Label
273,296,1
154,336,1
352,384,1
255,314,1
411,387,1
221,300,1
269,372,1
359,336,1
390,353,1
276,389,1
323,361,1
362,372,1
178,315,1
211,359,1
174,384,1
184,334,1
203,348,1
205,324,1
186,355,1
284,356,1
247,318,1
173,316,1
114,325,1
330,372,1
353,338,1
256,316,1
239,320,1
354,359,1
124,343,1
184,319,1
176,278,1
110,289,1
313,315,1
256,333,1
259,361,1
314,319,1
187,319,1
148,334,1
399,385,1
160,354,1
179,319,1
404,388,1
160,330,1
128,286,1
122,288,1
347,379,1
271,340,1
271,345,1
282,380,1
337,317,1
528,242,2
496,252,2
525,267,2
511,345,2
524,306,2
466,270,2
413,315,2
522,306,2
460,272,2
406,358,2
476,345,2
465,315,2
474,355,2
434,364,2
475,338,2
451,271,2
442,300,2
423,355,2
540,312,2
454,269,2
465,292,2
469,363,2
480,261,2
481,317,2
524,292,2
517,297,2
540,276,2
541,272,2
471,318,2
415,357,2
488,283,2
397,369,2
402,355,2
405,359,2
520,280,2
462,359,2
430,364,2
454,294,2
445,357,2
431,372,2
544,278,2
439,380,2
475,365,2
468,316,2
518,286,2
469,289,2
427,312,2
405,337,2
451,378,2
500,283,2
517,306,2
542,312,2
478,269,2
520,328,2
425,293,2
532,248,2
437,370,2
460,324,2
505,261,2
543,257,2
305,219,3
205,294,3
228,190,3
242,190,3
299,153,3
215,315,3
256,291,3
272,141,3
300,137,3
211,200,3
230,240,3
234,299,3
277,287,3
336,217,3
306,129,3
228,226,3
227,144,3
193,155,3
200,252,3
212,152,3
200,130,3
213,251,3
229,300,3
304,224,3
272,178,3
261,116,3
258,117,3
224,248,3
182,149,3
188,250,3
270,145,3
253,124,3
191,237,3
194,285,3
256,180,3
226,283,3
202,216,3
332,238,3
260,319,3
238,128,3
284,134,3
280,262,3
203,294,3
206,122,3
197,182,3
239,184,3
313,231,3
279,123,3
183,267,3
216,257,3
215,122,3
191,278,3
262,308,3
275,163,3
243,192,3
185,202,3
264,221,3
321,250,3
251,127,3
197,307,3
214,138,3
199,181,3
288,207,3
299,306,3
270,294,3
336,166,3
268,169,3
189,186,3
291,143,3
189,254,3
594,235,4
552,188,4
522,229,4
549,258,4
515,190,4
535,250,4
509,225,4
587,221,4
546,175,4
581,250,4
558,235,4
531,193,4
545,221,4
555,233,4
571,208,4
565,206,4
568,178,4
523,200,4
572,181,4
517,237,4
528,173,4
526,170,4
550,228,4
509,240,4
574,224,4
513,192,4
555,243,4
547,252,4
508,253,4
535,216,4
561,202,4
560,265,4
593,235,4
522,188,4
511,198,4
566,194,4
542,205,4
560,259,4
516,206,4
584,223,4
547,165,4
547,264,4
522,192,4
556,252,4
527,224,4
556,251,4
561,194,4
589,202,4
590,214,4
531,249,4
544,210,4
546,172,4
524,205,4
572,214,4
526,269,4
530,225,4
518,176,4
589,250,4
549,174,4
549,273,4
547,194,4
582,198,4
535,238,4
556,244,4
584,194,4
592,212,4
517,266,4
571,247,4
599,223,4
540,260,4
521,233,4
585,250,4
515,250,4
537,269,4
582,255,4
532,166,4
595,210,4
519,220,4
572,181,4
534,203,4
590,137,5
516,85,5
521,133,5
544,142,5
567,127,5
530,109,5
525,178,5
459,110,5
499,128,5
496,156,5
483,161,5
537,134,5
530,175,5
466,89,5
464,122,5
492,141,5
473,149,5
498,164,5
534,92,5
497,156,5
545,170,5
525,100,5
494,159,5
585,159,5
440,99,5
524,127,5
485,116,5
538,100,5
516,173,5
561,145,5
533,145,5
491,111,5
465,94,5
479,131,5
526,103,5
545,139,5
516,115,5
469,92,5
526,118,5
506,171,5
531,119,5
551,135,5
527,136,5
527,176,5
471,151,5
482,114,5
544,100,5
447,107,5
570,127,5
492,89,5
