x_1,x_2,Label
126,269,1
209,359,1
228,340,1
188,328,1
166,323,1
223,322,1
161,277,1
124,344,1
116,297,1
197,366,1
185,283,1
147,305,1
132,340,1
246,292,1
245,345,1
96,296,1
159,324,1
101,270,1
120,263,1
89,296,1
203,359,1
188,314,1
100,299,1
224,316,1
137,278,1
218,330,1
168,306,1
126,311,1
122,332,1
123,262,1
123,338,1
157,291,1
245,289,1
223,287,1
236,312,1
116,277,1
169,308,1
199,280,1
125,326,1
100,276,1
148,316,1
218,276,1
165,327,1
215,349,1
200,343,1
203,323,1
141,267,1
189,347,1
204,354,1
164,360,1
357,253,0
502,127,0
258,240,0
363,272,0
554,102,0
251,220,0
456,123,0
593,102,0
298,283,0
326,229,0
289,249,0
250,224,0
578,133,0
210,197,0
499,68,0
271,227,0
461,101,0
298,231,0
259,212,0
536,104,0
456,125,0
346,243,0
342,249,0
254,216,0
267,218,0
518,89,0
371,222,0
327,230,0
305,204,0
362,232,0
284,248,0
228,199,0
324,240,0
237,171,0
321,191,0
563,137,0
458,84,0
536,148,0
525,139,0
526,128,0
367,220,0
316,266,0
393,258,0
323,259,0
271,198,0
541,73,0
299,228,0
564,115,0
317,251,0
500,68,0
