x_1,x_2,Label
238,222,-1
256,256,-1
213,308,-1
349,241,-1
152,200,-1
132,230,-1
166,202,-1
269,200,-1
311,233,-1
247,217,-1
337,349,-1
183,200,-1
200,251,-1
395,333,-1
477,351,-1
203,304,-1
379,330,-1
227,180,-1
298,362,-1
387,304,-1
381,317,-1
469,418,-1
354,353,-1
470,424,-1
245,210,-1
194,176,-1
320,243,-1
303,353,-1
334,258,-1
233,281,-1
216,202,-1
177,219,-1
191,238,-1
228,155,-1
348,364,-1
302,304,-1
292,267,-1
168,193,-1
221,304,-1
393,388,-1
426,395,-1
175,124,-1
132,121,-1
262,312,-1
433,385,-1
221,239,-1
233,291,-1
130,202,-1
337,220,-1
362,330,-1
460,430,-1
265,306,-1
179,180,-1
247,154,-1
158,259,-1
315,233,-1
187,252,-1
456,403,-1
194,230,-1
398,342,-1
456,370,-1
153,170,-1
282,196,-1
179,230,-1
266,347,-1
274,352,-1
193,184,-1
349,346,-1
213,257,-1
242,192,-1
219,167,-1
170,268,-1
276,308,-1
239,313,-1
420,361,-1
277,294,-1
443,416,-1
184,234,-1
252,251,-1
300,249,-1
128,142,-1
528,387,-1
386,314,-1
177,223,-1
474,425,-1
340,332,-1
282,204,-1
216,294,-1
373,317,-1
408,412,-1
146,142,-1
469,393,-1
145,172,-1
146,199,-1
196,274,-1
212,154,-1
448,354,-1
199,275,-1
482,355,-1
201,191,-1
530,155,1
239,51,1
395,132,1
543,283,1
524,307,1
550,221,1
389,127,1
519,287,1
524,255,1
390,65,1
411,102,1
281,43,1
312,99,1
427,166,1
445,192,1
373,122,1
470,209,1
238,32,1
563,186,1
455,163,1
308,96,1
382,171,1
453,199,1
207,66,1
596,391,1
373,54,1
447,157,1
416,171,1
512,161,1
486,113,1
598,378,1
383,59,1
502,175,1
605,390,1
353,87,1
491,164,1
534,267,1
456,212,1
511,198,1
521,243,1
600,247,1
582,213,1
550,289,1
333,72,1
542,273,1
386,113,1
441,97,1
538,264,1
567,206,1
579,316,1
542,318,1
530,157,1
295,97,1
555,320,1
585,313,1
296,94,1
518,158,1
522,316,1
476,240,1
462,268,1
314,48,1
521,270,1
376,102,1
245,62,1
450,152,1
462,123,1
472,286,1
392,180,1
524,300,1
585,281,1
539,254,1
451,93,1
414,140,1
527,272,1
513,300,1
336,127,1
531,236,1
354,53,1
421,80,1
471,121,1
355,98,1
570,276,1
392,220,1
557,253,1
578,332,1
529,329,1
467,296,1
503,195,1
581,244,1
345,84,1
486,196,1
197,40,1
382,204,1
402,172,1
332,97,1
383,102,1
523,216,1
525,311,1
592,326,1
317,78,1
